dummyCell,vep,boutNo,boutLength,phase,center,meanMaize,relToAll,nHouse,fieldContention,modelledpop,greatkiva,plaza,oversizepit,greathouse,multiwalls,encwall,towers,reservoir
7720,13,1,17,1,0,0.6761143138331752,0.0334472885054927,1,59,3213.8,0,0,0,0,0,0,1,0
7767,16,1,14,0,0,0.7909961904248883,0.13763626169773835,1,87,3606.9,1,1,0,1,0,0,1,1
7767,16,1,14,1,0,0.791135428413268,0.14084788368594256,1,85,3495.2,1,1,0,1,0,0,1,1
7768,14,1,21,0,0,0.6972345673325392,0.05332538296081538,1,87,2881.764705882353,0,1,0,1,0,0,1,1
7768,14,1,21,1,0,0.6800894684368565,0.014876002746243674,1,85,2263.2,0,1,0,1,0,0,1,1
7787,17,1,64,0,0,0.21815049593287278,-0.4630888701017939,1,141,3091.35,0,1,1,0,0,1,1,1
7787,17,1,64,1,0,0.26313386873976746,-0.4368661193393036,1,57,2348.2,0,1,1,0,0,1,1,1
7836,17,1,37,0,0,0.7919171039426548,0.13710388022667036,1,87,3155.5454545454545,1,1,0,1,0,0,1,1
7836,17,1,37,1,0,0.8155340225465836,0.11553403446751254,1,60,2323,1,0,0,1,0,0,1,0
7852,13,1,17,0,0,0.34905677906262966,-0.2843291130351369,1,52,2947.153846153846,0,0,0,0,0,0,1,0
7852,13,1,17,1,0,0.4119663614899881,-0.2307006638376944,1,59,3213.8,0,0,0,0,0,0,1,0
7870,12,1,27,0,0,0.7060971697747419,0.07637377508020629,1,9,638.9565217391304,1,0,0,0,0,0,1,0
7870,12,1,27,1,0,0.6805186331272125,0.07232263088226319,1,7,481.2,1,0,0,0,0,0,1,0
7870,14,2,34,0,0,0.7675962334195194,0.1287213072498061,1.9333333333333333,87,2922.7,0,1,0,1,0,0,1,1
7870,14,2,34,1,0,0.7145112952652195,0.05536366910364414,1.6,86,2414,0,1,0,1,0,0,1,1
